Datetime,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018-01-01,,,0.0,0.0,,,0.0
2018-01-02,,0.1,0.2,,0.2,,
2018-01-03,0.7,,0.3,0.0,0.0,0.5,
2018-01-04,0.8,0.3,,0.0,-0.3,0.6,0.0
2018-01-05,0.8,0.4,0.4,0.0,0.3,0.5,0.9
2018-01-06,0.1,0.5,1.0,0.0,0.7,1.1,1.4
2018-01-07,0.6,0.6,1.4,,1.1,1.0,
2018-01-08,1.6,,,,,,1.9
2018-01-09,1.3,,,1.9,1.1,0.8,2.2
2018-01-10,,2.7,0.7,2.3,1.2,,1.7
2018-01-11,1.1,,1.0,2.3,1.0,0.8,1.2
2018-01-12,,2.4,,2.3,1.1,1.1,1.2
2018-01-13,,2.3,1.0,2.5,,1.6,1.4
2018-01-14,1.1,,0.4,2.0,0.7,,1.1
2018-01-15,,1.9,,1.9,0.3,1.7,0.9
2018-01-16,0.6,2.0,,1.9,0.1,1.4,
2018-01-17,0.7,2.0,0.3,2.3,0.4,1.2,0.8
2018-01-18,0.9,,0.6,2.6,,1.3,
2018-01-19,0.5,2.0,,,,1.3,0.7
2018-01-20,0.3,,0.2,,0.1,0.9,
2018-01-21,0.6,1.8,0.2,2.3,0.6,,0.4
2018-01-22,0.9,1.8,,2.3,,1.1,0.1
2018-01-23,0.5,,,2.2,-0.1,1.1,0.1
2018-01-24,1.3,1.5,0.9,2.2,-0.1,,0.5
2018-01-25,1.2,1.3,,2.2,-0.2,,
2018-01-26,,1.1,1.3,,,2.3,1.9
2018-01-27,,1.0,1.4,,-0.1,,2.1
2018-01-28,,1.0,1.6,3.7,,1.2,
2018-01-29,,1.0,1.5,3.7,0.2,,1.6
2018-01-30,,1.1,,3.2,0.3,,1.4
2018-01-31,1.2,1.1,,3.2,0.1,1.9,
2018-02-01,0.5,1.1,0.5,,0.5,1.4,0.8
2018-02-02,,,0.5,,0.5,1.4,
2018-02-03,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018-02-04,0.5,1.1,0.5,2.5,,1.4,0.8
2018-02-05,0.5,1.1,0.5,,0.5,1.4,0.8
2018-02-06,0.5,1.1,,2.5,0.5,1.4,0.8
2018-02-07,0.5,1.1,0.5,2.5,0.5,1.4,0.8
2018-02-08,,,0.5,,,,0.8
2018-02-09,0.7,1.1,,,0.4,2.1,
2018-02-10,0.6,1.1,1.5,2.3,0.1,1.8,
2018-02-11,0.7,1.1,1.4,2.0,0.3,2.1,
2018-02-12,,1.1,1.1,,0.5,2.0,
2018-02-13,,1.1,1.5,,0.3,2.3,0.8
2018-02-14,,1.1,,3.6,0.3,,
2018-02-15,0.8,1.1,1.3,,0.1,,0.8
2018-02-16,0.6,,1.2,,,,
2018-02-17,,1.1,1.5,,,1.5,
2018-02-18,0.8,1.1,1.2,2.4,0.2,1.2,0.5
2018-02-19,0.6,1.1,,2.4,0.5,,0.9
2018-02-20,0.3,,1.4,,,,0.7
2018-02-21,,1.1,1.1,2.0,0.5,1.7,0.4
2018-02-22,0.1,,,2.0,0.2,,0.8
2018-02-23,,,1.5,2.0,,2.1,1.2
2018-02-24,,,1.3,2.6,,2.6,
2018-02-25,,,1.1,,0.2,2.6,
2018-02-26,0.9,1.1,1.5,3.8,0.2,,
2018-02-27,0.4,1.1,1.5,,0.2,,
